time,level,message
"2025-10-16 22:38:22,012",INFO,"Using device: cuda
"
"2025-10-16 22:38:22,943",INFO,"Model built, start training...
"
"2025-10-16 22:38:35,905",INFO,"Epoch 01 | Train Loss: 0.1262
"
"2025-10-16 22:38:37,425",INFO,"Epoch 01 | Val Loss: 0.0889 | Val IoU: 0.4494 (40/89)
"
"2025-10-16 22:38:37,443",INFO,"New best IoU: 0.4494 -> saved to ./checkpoints/20251016/best_iou_0.4494.pth
"
"2025-10-16 22:38:37,443",INFO,"Epoch 01 finished in 14.5s
"
"2025-10-16 22:38:49,120",INFO,"Epoch 02 | Train Loss: 0.1011
"
"2025-10-16 22:38:50,602",INFO,"Epoch 02 | Val Loss: 0.0894 | Val IoU: 0.4719 (42/89)
"
"2025-10-16 22:38:50,614",INFO,"New best IoU: 0.4719 -> saved to ./checkpoints/20251016/best_iou_0.4719.pth
"
"2025-10-16 22:38:50,614",INFO,"Epoch 02 finished in 13.2s
"
"2025-10-16 22:39:01,611",INFO,"Epoch 03 | Train Loss: 0.0920
"
"2025-10-16 22:39:03,114",INFO,"Epoch 03 | Val Loss: 0.0828 | Val IoU: 0.5281 (47/89)
"
"2025-10-16 22:39:03,124",INFO,"New best IoU: 0.5281 -> saved to ./checkpoints/20251016/best_iou_0.5281.pth
"
"2025-10-16 22:39:03,124",INFO,"Epoch 03 finished in 12.5s
"
"2025-10-16 22:39:13,809",INFO,"Epoch 04 | Train Loss: 0.0920
"
"2025-10-16 22:39:15,275",INFO,"Epoch 04 | Val Loss: 0.1077 | Val IoU: 0.3820 (34/89)
"
"2025-10-16 22:39:15,275",INFO,"IoU未提升（当前:0.3820 最佳:0.5281），模型不保存
"
"2025-10-16 22:39:15,275",INFO,"Epoch 04 finished in 12.2s
"
"2025-10-16 22:39:26,138",INFO,"Epoch 05 | Train Loss: 0.0881
"
"2025-10-16 22:39:27,632",INFO,"Epoch 05 | Val Loss: 0.0858 | Val IoU: 0.4045 (36/89)
"
"2025-10-16 22:39:27,632",INFO,"IoU未提升（当前:0.4045 最佳:0.5281），模型不保存
"
"2025-10-16 22:39:27,632",INFO,"Epoch 05 finished in 12.4s
"
"2025-10-16 22:39:38,274",INFO,"Epoch 06 | Train Loss: 0.0850
"
"2025-10-16 22:39:39,770",INFO,"Epoch 06 | Val Loss: 0.0933 | Val IoU: 0.5056 (45/89)
"
"2025-10-16 22:39:39,770",INFO,"IoU未提升（当前:0.5056 最佳:0.5281），模型不保存
"
"2025-10-16 22:39:39,770",INFO,"Epoch 06 finished in 12.1s
"
"2025-10-16 22:39:50,420",INFO,"Epoch 07 | Train Loss: 0.0851
"
"2025-10-16 22:39:51,905",INFO,"Epoch 07 | Val Loss: 0.0780 | Val IoU: 0.6180 (55/89)
"
"2025-10-16 22:39:51,916",INFO,"New best IoU: 0.6180 -> saved to ./checkpoints/20251016/best_iou_0.6180.pth
"
"2025-10-16 22:39:51,916",INFO,"Epoch 07 finished in 12.1s
"
"2025-10-16 22:40:02,592",INFO,"Epoch 08 | Train Loss: 0.0801
"
"2025-10-16 22:40:04,054",INFO,"Epoch 08 | Val Loss: 0.0844 | Val IoU: 0.5730 (51/89)
"
"2025-10-16 22:40:04,054",INFO,"IoU未提升（当前:0.5730 最佳:0.6180），模型不保存
"
"2025-10-16 22:40:04,054",INFO,"Epoch 08 finished in 12.1s
"
