time,level,message
"2025-10-17 10:51:46,281",INFO,"Using device: cuda
"
"2025-10-17 10:51:46,922",INFO,"Model built, start training...
"
"2025-10-17 10:51:57,816",INFO,"Epoch 01 | Train Loss: 0.1302
"
"2025-10-17 10:51:59,208",INFO,"Epoch 01 | Val Loss: 0.1001 | Val IoU: 0.4944 (44/89)
"
"2025-10-17 10:51:59,215",INFO,"New best IoU: 0.4944 -> saved to ./checkpoints/20251017/best_iou_0.4944.pth
"
"2025-10-17 10:51:59,215",INFO,"Epoch 01 finished in 12.3s
"
"2025-10-17 10:52:09,684",INFO,"Epoch 02 | Train Loss: 0.0980
"
"2025-10-17 10:52:11,066",INFO,"Epoch 02 | Val Loss: 0.1024 | Val IoU: 0.2697 (24/89)
"
"2025-10-17 10:52:11,067",INFO,"IoU未提升（当前:0.2697 最佳:0.4944），模型不保存
"
"2025-10-17 10:52:11,067",INFO,"Epoch 02 finished in 11.9s
"
"2025-10-17 10:52:21,604",INFO,"Epoch 03 | Train Loss: 0.0941
"
"2025-10-17 10:52:23,031",INFO,"Epoch 03 | Val Loss: 0.1067 | Val IoU: 0.3596 (32/89)
"
"2025-10-17 10:52:23,032",INFO,"IoU未提升（当前:0.3596 最佳:0.4944），模型不保存
"
"2025-10-17 10:52:23,032",INFO,"Epoch 03 finished in 12.0s
"
"2025-10-17 10:52:33,563",INFO,"Epoch 04 | Train Loss: 0.1028
"
"2025-10-17 10:52:34,944",INFO,"Epoch 04 | Val Loss: 0.1053 | Val IoU: 0.4494 (40/89)
"
"2025-10-17 10:52:34,944",INFO,"IoU未提升（当前:0.4494 最佳:0.4944），模型不保存
"
"2025-10-17 10:52:34,944",INFO,"Epoch 04 finished in 11.9s
"
"2025-10-17 10:52:45,505",INFO,"Epoch 05 | Train Loss: 0.0962
"
"2025-10-17 10:52:46,919",INFO,"Epoch 05 | Val Loss: 0.0938 | Val IoU: 0.4944 (44/89)
"
"2025-10-17 10:52:46,919",INFO,"IoU未提升（当前:0.4944 最佳:0.4944），模型不保存
"
"2025-10-17 10:52:46,919",INFO,"Epoch 05 finished in 12.0s
"
"2025-10-17 10:52:57,539",INFO,"Epoch 06 | Train Loss: 0.0941
"
"2025-10-17 10:52:58,946",INFO,"Epoch 06 | Val Loss: 0.0968 | Val IoU: 0.3483 (31/89)
"
"2025-10-17 10:52:58,946",INFO,"IoU未提升（当前:0.3483 最佳:0.4944），模型不保存
"
"2025-10-17 10:52:58,946",INFO,"Epoch 06 finished in 12.0s
"
"2025-10-17 10:53:09,450",INFO,"Epoch 07 | Train Loss: 0.0895
"
"2025-10-17 10:53:10,865",INFO,"Epoch 07 | Val Loss: 0.0950 | Val IoU: 0.4045 (36/89)
"
"2025-10-17 10:53:10,865",INFO,"IoU未提升（当前:0.4045 最佳:0.4944），模型不保存
"
"2025-10-17 10:53:10,865",INFO,"Epoch 07 finished in 11.9s
"
"2025-10-17 10:53:21,486",INFO,"Epoch 08 | Train Loss: 0.0919
"
"2025-10-17 10:53:22,860",INFO,"Epoch 08 | Val Loss: 0.0949 | Val IoU: 0.4270 (38/89)
"
"2025-10-17 10:53:22,861",INFO,"IoU未提升（当前:0.4270 最佳:0.4944），模型不保存
"
"2025-10-17 10:53:22,861",INFO,"Epoch 08 finished in 12.0s
"
"2025-10-17 10:53:33,392",INFO,"Epoch 09 | Train Loss: 0.0918
"
"2025-10-17 10:53:34,786",INFO,"Epoch 09 | Val Loss: 0.0931 | Val IoU: 0.3820 (34/89)
"
"2025-10-17 10:53:34,786",INFO,"IoU未提升（当前:0.3820 最佳:0.4944），模型不保存
"
"2025-10-17 10:53:34,786",INFO,"Epoch 09 finished in 11.9s
"
"2025-10-17 10:53:45,303",INFO,"Epoch 10 | Train Loss: 0.0874
"
"2025-10-17 10:53:46,700",INFO,"Epoch 10 | Val Loss: 0.0902 | Val IoU: 0.4719 (42/89)
"
"2025-10-17 10:53:46,700",INFO,"IoU未提升（当前:0.4719 最佳:0.4944），模型不保存
"
"2025-10-17 10:53:46,700",INFO,"Epoch 10 finished in 11.9s
"
"2025-10-17 10:53:57,259",INFO,"Epoch 11 | Train Loss: 0.0871
"
"2025-10-17 10:53:58,661",INFO,"Epoch 11 | Val Loss: 0.0844 | Val IoU: 0.5056 (45/89)
"
"2025-10-17 10:53:58,669",INFO,"New best IoU: 0.5056 -> saved to ./checkpoints/20251017/best_iou_0.5056.pth
"
"2025-10-17 10:53:58,669",INFO,"Epoch 11 finished in 12.0s
"
"2025-10-17 10:54:09,135",INFO,"Epoch 12 | Train Loss: 0.0806
"
"2025-10-17 10:54:10,576",INFO,"Epoch 12 | Val Loss: 0.0936 | Val IoU: 0.5618 (50/89)
"
"2025-10-17 10:54:10,584",INFO,"New best IoU: 0.5618 -> saved to ./checkpoints/20251017/best_iou_0.5618.pth
"
